account_number,name
1101,CASH IN BANK - CHINABANK 116-043032-8 
1102,CASH IN BANK - CHINABANK 1016-00-00221-0 
5101,SALARIES AND WAGES 
5102,OFFICE SUPPLIES 
5103,TRANSPORTATION 
2201,OUTPUT TAX PAYABLE 
1103,PETTY CASH FUND 
5104,TAXES AND LICENSES 
1104,LOAN RECEIVABLE - GAINTRUST 
1105,LOAN RECEIVABLE - HYPERGAIN MARKETING 
1106,LOAN RECEIVABLE - MULTIGAIN 
1107,LOAN RECEIVBALE - GREENHARVEST DEV'T. CORP. 
1108,LOAN RECEIVABLE - AVT 
1109,"LOAN RECEIVABLE - 1 SOUTHPOLE RESOURCES, INC. "
5105,BONUS AND EMPLOYEES BENEFITS 
